Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-04-27","2,615","5,527","4.41","0","739","153","42","31","1,134"
"2017-04-28","2,372","5,175","3.61","0","806","118","21","27","816"
"2017-04-29","3,045","9,914","7.52","0","577","238","43","41","1,659"
"2017-04-30","2,245","2,245","1.56","0","897","174","0","0","709"
"2017-05-01","2,940","6,629","5.23","0","622","171","77","46","1,532"
"2017-05-02","3,114","7,061","4.92","0","528","110","116","68","1,710"
"2017-05-03","2,642","6,293","4.39","0","598","183","25","31","1,132"
"2017-05-04","2,229","1,941","1.35","0","697","132","21","5","670"
"2017-05-05","2,481","4,583","3.77","0","803","86","44","38","939"
"2017-05-06","2,313","1,804","1.26","0","762","119","45","14","856"
"2017-05-07","2,845","6,137","4.34","0","696","187","62","42","1,458"
"2017-05-08","2,967","8,072","5.63","0","678","147","64","74","1,548"
"2017-05-09","2,946","8,954","6.78","0","658","142","66","69","1,559"
"2017-05-10","2,940","9,740","6.79","0","754","172","41","73","1,559"
"2017-05-11","2,446","5,135","3.58","0","701","146","17","31","965"
"2017-05-12","3,128","11,044","8.17","0","605","149","76","92","1,808"
"2017-05-13","1,686","268","0.19","0","947","20","0","0","78"
"2017-05-14","2,536","5,932","4.13","0","844","193","25","17","1,095"
"2017-05-15","2,765","8,820","6.15","0","751","164","40","54","1,348"
"2017-05-16","2,989","10,819","7.54","0","651","174","37","77","1,593"
"2017-05-17","2,737","6,110","4.26","0","766","136","58","49","1,262"
"2017-05-18","2,432","3,760","2.62","0","777","151","20","20","902"
"2017-05-19","2,808","7,672","5.4","0","671","145","68","41","1,323"
"2017-05-20","2,316","5,250","3.66","0","943","111","30","24","813"
"2017-05-21","2,942","7,100","5.35","0","724","141","130","43","1,591"
"2017-05-22","2,976","8,744","6.09","0","674","170","63","66","1,561"
"2017-05-23","3,121","10,706","7.96","0","660","167","55","85","1,719"
"2017-05-24","2,757","8,711","6.07","0","926","187","30","49","1,304"
"2017-05-25","2,602","5,940","4.59","0","790","176","34","29","1,169"
"2017-05-26","2,645","8,764","6.11","0","948","191","48","51","1,427"
