Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2017-04-27","397","20","2","417"
"2017-04-28","482","20","1","502"
"2017-04-29","508","33","2","541"
"2017-04-30","353","14","1","369"
"2017-05-01","428","11","0","439"
"2017-05-02","503","36","3","539"
"2017-05-03","502","42","0","544"
"2017-05-04","506","33","1","539"
"2017-05-05","484","31","0","516"
"2017-05-06","485","15","0","500"
"2017-05-07","431","22","1","453"
"2017-05-08","413","32","2","445"
"2017-05-09","476","20","1","496"
"2017-05-10","391","11","2","409"
"2017-05-11","445","24","1","469"
"2017-05-12","492","26","3","518"
"2017-05-13","443","24","1","473"
"2017-05-14","348","12","0","361"
"2017-05-15","393","23","1","416"
"2017-05-16","475","26","2","501"
"2017-05-17","407","22","2","431"
"2017-05-18","363","23","0","386"
"2017-05-19","495","20","0","515"
"2017-05-20","309","23","1","332"
"2017-05-21","382","20","1","402"
"2017-05-22","446","21","1","467"
"2017-05-23","452","21","1","473"
"2017-05-24","238","9","1","248"
"2017-05-25","383","18","0","411"
"2017-05-26","66","5","2","71"
